"繁對簡",,,
"简体","码值","繁体","码值"
"皑","7691","皚","769A"
"蔼","853C","藹","85F9"
"碍","788D","礙","7919"
"爱","7231","愛","611B"
"袄","8884","襖","8956"
"奥","5965","奧","5967"
"坝","575D","壩","58E9"
"罢","7F62","罷","7F77"
"摆","6446","擺","64FA"
"败","8D25","敗","6557"
"颁","9881","頒","9812"
"办","529E","辦","8FA6"
"绊","7ECA","絆","7D46"
"帮","5E2E","幫","5E6B"
"绑","7ED1","綁","7D81"
"镑","9551","鎊","938A"
"谤","8C24","謗","8B17"
"剥","5265","剝","525D"
"饱","9971","飽","98FD"
"宝","5B9D","寶","5BF6"
"报","62A5","報","5831"
"鲍","9C8D","鮑","9B91"
"辈","8F88","輩","8F29"
"贝","8D1D","貝","8C9D"
"钡","94A1","鋇","92C7"
"狈","72C8","狽","72FD"
"备","5907","備","5099"
"惫","60EB","憊","618A"
"绷","7EF7","繃","7E43"
"笔","7B14","筆","7B46"
"毕","6BD5","畢","7562"
"毙","6BD9","斃","6583"
"币","5E01","幣","5E63"
"闭","95ED","閉","9589"
"边","8FB9","邊","908A"
"编","7F16","編","7DE8"
"贬","8D2C","貶","8CB6"
"变","53D8","變","8B8A"
"辩","8FA9","辯","8FAF"
"辫","8FAB","辮","8FAE"
"标","6807","標","6A19"
"鳖","9CD6","鱉","9C49"
"别","522B","別","5225"
"瘪","762A","癟","765F"
"濒","6FD2","瀕","7015"
"滨","6EE8","濱","6FF1"
"宾","5BBE","賓","8CD3"
"摈","6448","擯","64EF"
"饼","997C","餅","9905"
"并","5E76","並","4E26"
"拨","62E8","撥","64A5"
"钵","94B5","缽","7F3D"
"铂","94C2","鉑","9251"
"驳","9A73","駁","99C1"
"卜","535C","蔔","8514"
"补","8865","補","88DC"
"财","8D22","財","8CA1"
"参","53C2","參","53C3"
"蚕","8695","蠶","8836"
"残","6B8B","殘","6B98"
"惭","60ED","慚","615A"
"惨","60E8","慘","6158"
"灿","707F","燦","71E6"
"苍","82CD","蒼","84BC"
"舱","8231","艙","8259"
"仓","4ED3","倉","5009"
"沧","6CA7","滄","6EC4"
"厕","5395","廁","5EC1"
"侧","4FA7","側","5074"
"册","518C","冊","518A"
"测","6D4B","測","6E2C"
"层","5C42","層","5C64"
"诧","8BE7","詫","8A6B"
"搀","6400","攙","6519"
"掺","63BA","摻","647B"
"蝉","8749","蟬","87EC"
"馋","998B","饞","995E"
"谗","8C17","讒","8B92"
